material_number	material_number_text	brand	product_area	core_segment	component	component_text	manufactoring_location	characteristic_value	material_weight	packaging_code	packaging_category
77095609	GPO MOLTONS.175	BOT	PA4	Coated Abr/Polishing	6035738186	Corrugated carton	Buyout(all entities)	WELLKARTON 332		PCode_304109	Unassigned
77095609	GPO MOLTONS.175	BOT	PA4	Coated Abr/Polishing	6035940770	Adhesive Label	Buyout(all entities)	WOOD FREE	0.35	PCode_451168	Unassigned
77095609	GPO MOLTONS.175	BOT	PA4	Coated Abr/Polishing	6035910344	Label               MP	Buyout(all entities)	PE	0.27	PCode_440854	Unassigned
53683705	9913364	VMT	PA5	Metal Drill Bits	1609471012	Insert              P63152B 12X6 CB	Lct (Lincolnton)	PAPER/CARDBOARD		PCode_574213	Unassigned
59950025	565	PRL	PA5	Metal Drill Bits	1609443831	Corrugated carton   #565	Buyout(all entities)	CORRUGATED	104.44	PCode_304109	Unassigned
97939620	ESD09	PRL	PA5	Metal Drill Bits	1609471012	Insert              P63152B 12X6 CB	Lct (Lincolnton)	PAPER/CARDBOARD		PCode_574213	Unassigned
24777425	9834525074	PRL	PA5	Metal Drill Bits	1609471012	Insert              P63152B 12X6 CB	Lct (Lincolnton)	PAPER/CARDBOARD		PCode_574213	Unassigned
75948573	9834525124	PRL	PA5	Metal Drill Bits	1609471012	Insert              P63152B 12X6 CB	Lct (Lincolnton)	PAPER/CARDBOARD		PCode_574213	Unassigned
75948573	9834525124	PRL	PA5	Metal Drill Bits	1609428824	Insert              9995574 Corrugated	Lct (Lincolnton)	CORRUGATED	202.23	PCode_574213	Unassigned
81841324	9834525173	PRL	PA5	Metal Drill Bits	1609471012	Insert              P63152B 12X6 CB	Lct (Lincolnton)	PAPER/CARDBOARD		PCode_574213	Unassigned
51430937	Circular Saw Blade	BOT	PA3	Circular Saw Blades	6801017003	Label               Adhesive-Label Set C	Buyout(all entities)	PAPER	2.0	PCode_657179	Unassigned
62476200	WUE- T-Box leer RSB	PRL	PA2	Recip Saw Blades	6035722D50	Cassette	NiP (St. Niklaus)	SEE MATERIAL GROUP	231.2	PCode_810606	Unassigned
62476200	WUE- T-Box leer RSB	PRL	PA2	Recip Saw Blades	6035738185	Corrugated carton	NiP (St. Niklaus)	WELLKARTON 332		PCode_304109	Unassigned
62476200	WUE- T-Box leer RSB	PRL	PA2	Recip Saw Blades	6035940565	Label               SB	NiP (St. Niklaus)	WOOD FREE	0.54	PCode_440854	Unassigned
62476200	WUE- T-Box leer RSB	PRL	PA2	Recip Saw Blades	6035834477	Suspender	NiP (St. Niklaus)	PP	1.4	PCode_683060	Unassigned
62476200	WUE- T-Box leer RSB	PRL	PA2	Recip Saw Blades	6035900411	sleeve              WUE- T-Box leer RSB	NiP (St. Niklaus)	GD2	7.9	PCode_435468	Unassigned
